City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Puerto Ayora,EC,78.76,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
5,Katobu,ID,76.84,overcast clouds,-4.9408,122.5276,La Ode Husein
9,Boa Vista,BR,82.38,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
15,Mar Del Plata,AR,71.62,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
17,Vaini,TO,77.16,few clouds,-21.2,-175.2,Keleti Beach Resort
18,Rikitea,PF,76.37,overcast clouds,-23.1203,-134.9692,People ThankYou
24,Jamestown,US,65.95,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
27,Bengkulu,ID,77.16,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
30,Georgetown,MY,82.33,moderate rain,5.4112,100.3354,Cititel Penang
31,Arlit,NE,93.87,overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
33,Kaduqli,SD,91.56,overcast clouds,11.0167,29.7167,Nussyba
34,Padang,ID,78.35,overcast clouds,-0.9492,100.3543,Mercure Padang
35,Cabo San Lucas,MX,88.61,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
40,Palmerston,AU,75.18,clear sky,-12.486,130.9833,Quest Palmerston - Serviced Apartments and Accommodation
44,Faanui,PF,82.09,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
46,Souillac,MU,75.58,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
47,Kapaa,US,80.58,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
49,Butaritari,KI,82.0,few clouds,3.0707,172.7902,Isles Sunset Lodge
50,Namibe,AO,73.22,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
51,Hithadhoo,MV,82.96,overcast clouds,-0.6,73.0833,Scoop Guest House
52,Saint-Philippe,RE,71.19,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
58,Dumas,US,87.94,clear sky,35.8656,-101.9732,"Holiday Inn Express & Suites Dumas, an IHG Hotel"
67,Ijui,BR,71.62,clear sky,-28.3878,-53.9147,Hotel Vera Cruz
69,Atuona,PF,78.6,clear sky,-9.8,-139.0333,Villa Enata
71,Abonnema,NG,79.09,overcast clouds,4.7084,6.7931,Corper's Lodge Obonoma
74,Sao Filipe,CV,73.49,clear sky,14.8961,-24.4956,Hotel Xaguate
75,Pisco,PE,73.45,dust,-13.7,-76.2167,Hotel San Isidro Oficial
78,Hilo,US,91.27,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
84,Tamale,GH,80.11,moderate rain,9.4008,-0.8393,Tap Hotel
86,Mana,GF,79.99,scattered clouds,5.6592,-53.7767,LE SAMANA
87,Hurghada,EG,80.64,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
90,Port Blair,IN,78.84,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
91,Bac Lieu,VN,80.58,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
98,Biak,ID,77.04,overcast clouds,-0.9131,122.8766,Penginapan Kim
100,Isangel,VU,76.51,scattered clouds,-19.55,169.2667,Tanna Lodge
103,Mackay,AU,70.68,broken clouds,-21.15,149.2,International Lodge Motel
104,Upata,VE,72.19,overcast clouds,8.0086,-62.3989,Posada Villa Nela
107,Amuntai,ID,75.25,overcast clouds,-2.4177,115.2494,Hotel Balqis
109,Sao Joao Da Barra,BR,75.29,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
110,Arenapolis,BR,80.04,few clouds,-14.4503,-56.8461,Mato Grosso Hotel
111,Guerrero Negro,MX,67.17,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
112,Cabedelo,BR,81.27,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
114,Saint George,US,84.63,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
116,Grand Island,US,75.24,scattered clouds,40.925,-98.342,Fairfield Inn & Suites by Marriott Grand Island
117,Sawakin,SD,80.62,clear sky,19.1059,37.3321,فندق الدويم
118,Tabou,CI,78.94,overcast clouds,4.423,-7.3528,hotêl doufoulougou
119,Avarua,CK,84.25,scattered clouds,-21.2078,-159.775,Paradise Inn
120,Puri,IN,82.92,overcast clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
121,Basco,PH,82.99,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
123,Arraial Do Cabo,BR,75.06,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
124,Maldonado,UY,72.79,clear sky,-34.6667,-54.9167,La Cimarrona
127,Bowen,AU,72.7,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
131,Atambua,ID,72.9,scattered clouds,-9.1061,124.8925,Kost Alfa Flat
132,Lamu,KE,79.02,light rain,-2.2717,40.902,Lamu House
