City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hours),Snow inches (last 3 hours)
0,Puerto Ayora,EC,-0.7393,-90.3518,78.76,77,35,9.75,scattered clouds,0,0
1,Bredasdorp,ZA,-34.5322,20.0403,54.84,86,99,2.98,overcast clouds,0,0
2,Ushuaia,AR,-54.8,-68.3,42.46,75,40,32.21,scattered clouds,0,0
3,Bluff,NZ,-46.6,168.3333,49.8,88,100,2.13,moderate rain,0,0
4,Sitka,US,57.0531,-135.33,51.69,62,40,17.27,scattered clouds,0,0
5,Katobu,ID,-4.9408,122.5276,76.84,90,100,2.86,overcast clouds,0,0
6,Nikolskoye,RU,59.7035,30.7861,41.81,82,79,6.29,broken clouds,0,0
7,Upernavik,GL,72.7868,-56.1549,19.51,80,73,6.53,broken clouds,0,0
8,Airai,TL,-8.9266,125.4092,58.53,90,55,4.14,broken clouds,0,0
9,Boa Vista,BR,2.8197,-60.6733,82.38,74,75,4.61,broken clouds,0,0
10,Ostersund,SE,63.1792,14.6357,37.85,70,20,5.75,few clouds,0,0
11,Castro,BR,-24.7911,-50.0119,56.46,85,2,4.68,clear sky,0,0
12,Provideniya,RU,64.3833,-173.3,32.9,93,87,10.16,overcast clouds,0,0
13,Sangar,RU,63.9242,127.4739,31.8,96,99,6.8,light snow,0,0
14,Te Anau,NZ,-45.4167,167.7167,49.17,91,100,0.78,light rain,0,0
15,Mar Del Plata,AR,-38.0023,-57.5575,71.62,68,0,18.41,clear sky,0,0
16,Punta Arenas,CL,-53.15,-70.9167,46.51,71,40,23.02,scattered clouds,0,0
17,Vaini,TO,-21.2,-175.2,77.16,69,20,10.36,few clouds,0,0
18,Rikitea,PF,-23.1203,-134.9692,76.37,77,87,20.45,overcast clouds,0,0
19,Tiksi,RU,71.6872,128.8694,4.39,98,89,4.54,overcast clouds,0,0
20,Northam,GB,51.0333,-4.2167,55.38,83,44,7.36,scattered clouds,0,0
21,Majdanpek,RS,44.4277,21.946,46.87,60,52,5.23,light rain,0,0
22,Debre Tabor,ET,11.85,38.0167,62.04,58,73,2.53,light rain,0,0
23,Port Alfred,ZA,-33.5906,26.891,58.17,91,98,3.0,overcast clouds,0,0
24,Jamestown,US,42.097,-79.2353,65.95,20,0,12.66,clear sky,0,0
