City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hilo,US,2022-05-06 04:23:07,19.7297,-155.09,79.29,93,100,8.05
1,Evreux,FR,2022-05-06 04:23:07,49.0241,1.1508,45.52,100,15,3.44
2,Nikolskoye,RU,2022-05-06 04:18:02,59.7035,30.7861,48.09,68,87,6.49
3,Ushuaia,AR,2022-05-06 04:15:13,-54.8,-68.3,36.34,96,89,7.74
4,Margate,GB,2022-05-06 04:20:36,51.3813,1.3862,54.7,77,19,1.99
5,Arraial Do Cabo,BR,2022-05-06 04:18:04,-22.9661,-42.0278,73.87,81,0,23.15
6,Busselton,AU,2022-05-06 04:17:54,-33.65,115.3333,64.98,44,0,12.3
7,Rikitea,PF,2022-05-06 04:16:19,-23.1203,-134.9692,77.99,85,63,16.51
8,Mataura,NZ,2022-05-06 04:23:09,-46.1927,168.8643,64.47,75,100,1.48
9,Pierre,US,2022-05-06 04:20:27,44.3683,-100.351,53.06,83,0,10.36
10,Qaanaaq,GL,2022-05-06 04:17:55,77.484,-69.3632,11.39,76,42,7.96
11,Bredasdorp,ZA,2022-05-06 04:17:59,-34.5322,20.0403,56.32,93,25,5.61
12,Kapaa,US,2022-05-06 04:18:05,22.0752,-159.319,80.58,84,100,16.11
13,Punta Arenas,CL,2022-05-06 04:16:37,-53.15,-70.9167,39.11,80,33,22.03
14,Los Llanos De Aridane,ES,2022-05-06 04:23:11,28.6585,-17.9182,60.55,78,40,9.22
15,Kaitangata,NZ,2022-05-06 04:20:29,-46.2817,169.8464,61.45,70,100,1.9
16,Hithadhoo,MV,2022-05-06 04:16:47,-0.6,73.0833,84.56,74,97,15.41
17,Albany,US,2022-05-06 04:15:24,42.6001,-73.9662,54.01,67,100,4.7
18,Villanueva De La Serena,ES,2022-05-06 04:23:12,38.9766,-5.7974,54.63,58,3,2.64
19,Ziro,IN,2022-05-06 04:23:13,27.6333,93.8333,65.14,55,56,2.57
20,Norman Wells,CA,2022-05-06 04:20:48,65.282,-126.8329,35.64,69,75,10.36
21,Myrtle Beach,US,2022-05-06 04:22:15,33.6891,-78.8867,73.44,91,100,5.75
22,Rio Cuarto,AR,2022-05-06 04:20:19,-33.1307,-64.3499,58.48,52,4,7.52
23,Atuona,PF,2022-05-06 04:15:23,-9.8,-139.0333,78.89,75,85,14.18
24,Hobart,AU,2022-05-06 04:14:53,-42.8794,147.3294,57.25,79,75,10.36
25,Zhuhai,CN,2022-05-06 04:23:14,22.2769,113.5678,90.86,78,20,6.91
26,Lasa,IT,2022-05-06 04:23:15,46.6166,10.7002,49.08,99,100,3.02
27,Bara,NG,2022-05-06 04:23:15,10.3744,10.7288,79.36,68,100,13.0
28,Upernavik,GL,2022-05-06 04:23:16,72.7868,-56.1549,0.88,89,62,4.68
29,Ilhabela,BR,2022-05-06 04:23:16,-23.7781,-45.3581,69.55,85,94,7.76
30,Fairbanks,US,2022-05-06 04:17:22,64.8378,-147.7164,49.23,68,75,11.5
